FID,DATE_ECH,VALEUR,QUALIF,SOURCE,TYPE_ZONE,CODE_ZONE,LIB_ZONE,VAL_NO2,VAL_SO2,VAL_O3,VAL_PM10,VAL_PM25,COULEUR
1001,2019-10-19 03:00:00,0,NA,Atmo Guyane,commune,97304,KOUROU,0,0,2,3,0,#888888
1002,2019-11-08 03:00:00,0,NA,Atmo Guyane,commune,97304,KOUROU,0,0,2,2,0,#888888
1003,2019-11-09 03:00:00,0,NA,Atmo Guyane,commune,97304,KOUROU,0,0,2,2,0,#888888
1004,2019-12-20 03:00:00,0,NA,Atmo Guyane,commune,97304,KOUROU,0,0,2,5,0,#888888
1005,2020-01-03 03:00:00,0,NA,Atmo Guyane,commune,97304,KOUROU,0,0,3,6,0,#888888
1006,2020-01-04 03:00:00,0,NA,Atmo Guyane,commune,97304,KOUROU,0,0,3,7,0,#888888
1007,2020-02-01 03:00:00,0,NA,Atmo Guyane,commune,97304,KOUROU,0,0,3,8,0,#888888
1008,2019-02-02 03:00:00,0,NA,Atmo Guyane,commune,97304,KOUROU,0,0,0,0,0,#888888
1009,2019-02-03 03:00:00,0,NA,Atmo Guyane,commune,97304,KOUROU,0,0,0,0,0,#888888
1010,2019-02-04 03:00:00,0,NA,Atmo Guyane,commune,97304,KOUROU,0,0,0,0,0,#888888
1011,2019-02-05 03:00:00,0,NA,Atmo Guyane,commune,97304,KOUROU,0,0,0,0,0,#888888
1012,2019-02-06 03:00:00,0,NA,Atmo Guyane,commune,97304,KOUROU,0,0,0,0,0,#888888
1013,2019-02-07 03:00:00,0,NA,Atmo Guyane,commune,97304,KOUROU,0,0,0,0,0,#888888
1014,2018-05-13 03:00:00,2,Très bon,Atmo Guyane,commune,97304,KOUROU,1,0,2,0,0,#00CCAA
1015,2018-05-14 03:00:00,3,Bon,Atmo Guyane,commune,97304,KOUROU,1,0,3,0,0,#99E600
1016,2018-05-15 03:00:00,3,Bon,Atmo Guyane,commune,97304,KOUROU,1,0,3,0,0,#99E600
1017,2018-05-16 03:00:00,2,Très bon,Atmo Guyane,commune,97304,KOUROU,1,0,2,0,0,#00CCAA
1018,2018-05-17 03:00:00,2,Très bon,Atmo Guyane,commune,97304,KOUROU,1,0,2,0,0,#00CCAA
