FID,date_ech,valeur,qualif,source,type_zone,code_zone,lib_zone,val_no2,val_so2,val_o3,val_pm10,val_pm25,couleur
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-666e,01-01-2019 00:00:00,4,Bon,AtmoSud,commune,06029,Cannes-Grasse-Antibes,3,0,3,4,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-666d,01-01-2019 00:00:00,4,Bon,AtmoSud,commune,06088,Nice,3,0,3,4,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-666c,01-01-2019 00:00:00,4,Bon,AtmoSud,commune,13001,Aix-en-Provence,2,0,3,4,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-666b,01-01-2019 00:00:00,4,Bon,AtmoSud,commune,13055,Marseille,3,0,2,4,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-666a,01-01-2019 00:00:00,5,Moyen,AtmoSud,commune,83137,Toulon,3,0,3,5,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6669,01-01-2019 00:00:00,2,Très bon,AtmoSud,commune,84007,Avignon,1,0,2,1,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6668,01-01-2020 00:00:00,4,Bon,AtmoSud,commune,06029,Cannes-Grasse-Antibes,3,0,3,4,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6667,01-01-2020 00:00:00,4,Bon,AtmoSud,commune,06088,Nice,3,0,3,4,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6666,01-01-2020 00:00:00,5,Moyen,AtmoSud,commune,13001,Aix-en-Provence,2,0,3,5,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6665,01-01-2020 00:00:00,5,Moyen,AtmoSud,commune,13055,Marseille,2,0,2,5,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6664,01-01-2020 00:00:00,7,Médiocre,AtmoSud,commune,83137,Toulon,2,0,3,7,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6663,01-01-2020 00:00:00,6,Médiocre,AtmoSud,commune,84007,Avignon,3,0,1,6,0,#F4B638
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6662,01-02-2019 00:00:00,3,Bon,AtmoSud,commune,06029,Cannes-Grasse-Antibes,2,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6661,01-02-2019 00:00:00,3,Bon,AtmoSud,commune,06088,Nice,3,0,2,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-6660,01-02-2019 00:00:00,3,Bon,AtmoSud,commune,13001,Aix-en-Provence,3,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-665f,01-02-2019 00:00:00,3,Bon,AtmoSud,commune,13055,Marseille,3,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-665e,01-02-2019 00:00:00,4,Bon,AtmoSud,commune,83137,Toulon,3,0,3,4,0,#8DA71E
ind_sudpaca_agglo.fid-59eb5302_1711eb9eb75_-665d,01-02-2019 00:00:00,3,Bon,AtmoSud,commune,84007,Avignon,3,0,2,2,0,#8DA71E
